id,masculine,see_as_masculine,society_pressure_is_bad,first_move,try_pay_date,state,white,age_range,kids,straight
109,4,3,Yes,No,3,Texas,yes,4,no,yes
110,4,5,Yes,Yes,5,Montana,yes,3,yes,yes
111,5,5,No,No,3,West Virginia,yes,4,no,yes
112,4,3,No,No,NA,Washington,yes,3,no,yes
113,4,4,No,Yes,4,California,yes,3,no,no
114,4,4,No,No,5,North Carolina,no,3,no,yes
115,5,2,Yes,No,5,New York,no,2,yes,yes
116,5,5,No,Yes,5,New York,yes,4,no,yes
117,5,4,Yes,Yes,5,Texas,no,2,no,yes
118,2,3,Yes,No,2,Iowa,no,2,yes,no
119,4,4,Yes,Yes,5,Texas,yes,3,yes,yes
120,4,3,Yes,Yes,5,North Carolina,no,2,yes,no
121,5,4,No,No,4,Florida,yes,4,no,yes
122,5,3,No,Yes,5,Illinois,yes,4,no,yes
123,4,4,No,No,5,Florida,yes,3,no,yes
124,4,3,Yes,No,5,California,yes,4,no,yes
125,4,2,Yes,No,5,Vermont,yes,3,NA,yes
126,5,4,No,Yes,5,California,yes,3,no,yes
127,4,5,Yes,No,4,Arizona,yes,3,yes,no
128,3,4,Yes,Yes,5,Texas,yes,3,no,yes
129,5,3,No,No,5,Florida,yes,4,no,yes
130,5,4,No,Yes,5,Missouri,yes,3,no,yes
131,4,4,No,No,5,Ohio,yes,3,no,yes
132,4,3,Yes,Yes,5,Idaho,yes,4,no,yes
133,3,2,Yes,No,4,Illinois,yes,3,yes,yes
134,4,3,Yes,No,3,Georgia,yes,4,yes,yes
135,4,4,No,Yes,4,Oregon,yes,4,no,yes
136,5,3,Yes,Yes,5,Louisiana,yes,2,no,yes
137,4,3,Yes,Yes,4,Washington,yes,4,yes,yes
138,5,4,Yes,Yes,5,Nevada,yes,4,no,yes
139,5,4,Yes,Yes,4,Vermont,yes,3,yes,no
140,2,2,Yes,No,1,California,yes,2,yes,NA
141,3,2,Yes,Yes,5,Minnesota,yes,2,yes,yes
142,5,4,No,Yes,5,Maryland,yes,3,yes,yes
143,4,5,Yes,No,3,Louisiana,no,2,no,yes
144,5,4,No,No,5,Connecticut,yes,4,no,yes
145,3,2,Yes,Yes,2,California,no,2,yes,yes
146,NA,2,NA,Yes,5,New York,no,3,no,yes
147,4,3,Yes,Yes,3,Connecticut,yes,4,no,yes
148,4,4,Yes,Yes,5,Iowa,yes,3,no,yes
149,4,4,No,No,4,Kentucky,no,3,no,yes
150,5,4,Yes,Yes,5,New York,no,3,yes,yes
151,4,3,No,Yes,5,Texas,yes,3,yes,yes
152,4,4,Yes,Yes,3,Florida,no,3,no,yes
153,4,3,No,No,4,Maine,yes,3,no,yes
154,2,2,No,No,3,Oklahoma,yes,3,no,yes
155,5,4,No,Yes,5,Illinois,yes,3,no,yes
156,3,2,Yes,No,4,Texas,yes,3,yes,yes
157,4,3,No,No,5,Louisiana,yes,4,no,yes
158,4,3,Yes,Yes,3,Iowa,yes,3,no,yes
159,4,3,Yes,Yes,4,Ohio,yes,3,yes,yes
160,4,NA,Yes,Yes,4,Florida,yes,3,no,yes
161,3,2,Yes,No,3,Vermont,yes,3,no,yes
162,5,2,No,No,5,New Jersey,yes,4,yes,yes
163,4,4,No,No,4,California,yes,3,no,no
164,5,4,Yes,Yes,4,Texas,no,2,yes,yes
165,3,3,Yes,Yes,4,Illinois,no,4,no,yes
166,4,4,Yes,NA,4,Florida,no,2,no,yes
167,5,2,No,Yes,5,South Carolina,no,3,no,yes
